DATE,Emerging Markets HYCBIY Value
1/4/99,14.9
2/1/99,15.95
3/1/99,15.49
4/1/99,14.3
5/3/99,13.13
6/1/99,13.91
7/1/99,13.53
8/2/99,13.5
9/1/99,13.65
10/1/99,13.42
11/1/99,13.3
12/1/99,12.81
1/3/00,12.56
2/1/00,12.5
3/1/00,11.81
4/3/00,11.77
5/1/00,12.07
6/1/00,12.94
7/3/00,12.53
8/1/00,12.28
9/1/00,12.03
10/2/00,12.39
11/1/00,13.23
12/1/00,13.55
1/2/01,13.37
2/1/01,12.4
3/1/01,12.45
4/2/01,12.52
5/1/01,12.73
6/1/01,12.28
7/2/01,12.19
8/1/01,13.82
9/3/01,13.57
10/1/01,14.48
11/1/01,14.7
12/3/01,15.45
1/2/02,16.94
2/1/02,16.78
3/1/02,17.91
4/1/02,17.43
5/1/02,15.44
6/3/02,15.23
7/1/02,15.69
8/1/02,16.53
9/2/02,16.15
10/1/02,16.09
11/1/02,15.8
12/2/02,15.22
1/2/03,14.47
2/3/03,12.98
3/3/03,12.5
4/1/03,14.85
5/1/03,10.87
6/2/03,9.66
7/1/03,9.24
8/1/03,9.38
9/1/03,8.96
10/1/03,8.1
11/3/03,8.01
12/1/03,7.8
1/2/04,7.42
2/2/04,7.67
3/1/04,7.6
4/1/04,7.17
5/3/04,8.16
6/1/04,8.63
7/1/04,8.35
8/2/04,8.11
9/1/04,7.56
10/1/04,7.46
11/1/04,7.19
12/1/04,7.08
1/3/05,6.96
2/1/05,6.97
3/1/05,6.8
4/1/05,7.47
5/2/05,7.32
6/1/05,7.09
7/1/05,6.92
8/1/05,7
9/1/05,6.73
10/3/05,6.76
11/1/05,7.25
12/1/05,7.2
1/3/06,7.12
2/1/06,7.11
3/1/06,7.01
4/3/06,7.26
5/1/06,7.41
6/1/06,7.82
7/3/06,8.15
8/1/06,8.1
9/1/06,7.86
10/2/06,7.87
11/1/06,7.75
12/1/06,7.69
1/2/07,7.64
2/1/07,7.72
3/1/07,7.7
4/2/07,7.67
5/1/07,7.55
6/1/07,7.66
7/2/07,8.01
8/1/07,8.71
9/3/07,9.15
10/1/07,8.98
11/1/07,8.8
12/3/07,9.53
1/2/08,9.48
2/1/08,9.71
3/3/08,9.79
4/1/08,10.3
5/1/08,9.9
6/2/08,9.62
7/1/08,10.12
8/1/08,10.57
9/1/08,10.79
10/1/08,15.17
11/3/08,27.49
12/1/08,28.39
1/2/09,26.16
2/2/09,24.05
3/2/09,25.05
4/1/09,23.99
5/1/09,21.08
6/1/09,17.93
7/1/09,15.42
8/3/09,13.75
9/1/09,12.38
10/1/09,11.06
11/2/09,10.91
12/1/09,11.12
1/4/10,10.74
2/1/10,10.07
3/1/10,9.81
4/1/10,8.99
5/3/10,8.53
6/1/10,9.73
7/1/10,9.44
8/2/10,8.62
9/1/10,8.34
10/1/10,7.9
11/1/10,7.89
12/1/10,8.51
1/3/11,8.24
2/1/11,8.15
3/1/11,8.16
4/1/11,8.06
5/2/11,7.87
6/1/11,7.97
7/1/11,8.24
8/1/11,8.06
9/1/11,9.3
10/3/11,11.98
11/1/11,10.27
12/1/11,10.7
1/3/12,10.51
2/1/12,9.6
3/1/12,8.59
4/2/12,8.67
5/1/12,8.59
6/1/12,9.76
7/2/12,9.3
8/1/12,8.89
9/3/12,8.7
10/1/12,8.23
11/1/12,7.97
12/3/12,7.64
1/2/13,7.11
2/1/13,7.14
3/1/13,6.91
4/1/13,7.03
5/1/13,6.85
6/3/13,7.53
7/1/13,8.6
8/1/13,8.4
9/2/13,8.79
10/1/13,8.5
11/1/13,7.81
12/2/13,7.91
1/2/14,7.78
2/3/14,8.22
3/3/14,8.04
4/1/14,7.95
5/1/14,7.86
6/2/14,7.31
7/1/14,7.11
8/1/14,7.5
9/1/14,7.49
10/1/14,8.1
11/3/14,7.96
12/1/14,8.54
1/2/15,10.04
2/2/15,10.52
3/2/15,9.38
4/1/15,8.84
5/1/15,7.89
6/1/15,7.92
7/1/15,8.08
8/3/15,8.35
9/1/15,9.12
10/1/15,9.95
11/2/15,8.93
12/1/15,9.13
1/4/16,10.02
2/1/16,10.46
3/1/16,10.24
4/1/16,9.17
5/2/16,8.26
6/1/16,8.22
7/1/16,7.36
8/1/16,7.01
9/1/16,6.81
10/3/16,6.55
11/1/16,6.56
12/1/16,6.85
1/3/17,6.58
2/1/17,6.18
3/1/17,5.93
4/3/17,6.19
5/1/17,6
6/1/17,6.1
7/3/17,6.29
8/1/17,6.18
9/1/17,5.97
10/2/17,5.77
11/1/17,5.7
12/1/17,5.66
1/2/18,5.4
2/1/18,5.44
3/1/18,5.85
4/2/18,5.88
5/1/18,6.26
6/1/18,7.02
7/2/18,7.45
8/1/18,7.09
9/3/18,7.9
10/1/18,7.51
11/1/18,7.86
12/3/18,8.12
1/2/19,8.22
2/1/19,7.26
3/1/19,7.13
4/1/19,6.96
5/1/19,7.02
6/3/19,7.22
7/1/19,6.57
8/1/19,6.58
9/2/19,7.45
10/1/19,7.15
11/1/19,6.79
12/2/19,6.77
1/2/20,6.45
2/3/20,6.29
3/2/20,6.73
4/1/20,11.97
5/1/20,10.02
6/1/20,8.58
7/1/20,7.72
8/3/20,7.03
9/1/20,6.64
10/1/20,7.15
11/2/20,7.15
12/1/20,6.05
1/4/21,5.53
2/1/21,5.71
3/1/21,5.73
4/1/21,5.95
5/3/21,5.8
6/1/21,5.73
7/1/21,5.91